,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
0,402206,Alibag_VidyaNagar_D (Maharashtra),Alibag_VidyaNagar_D (Maharashtra),Alibag_VidyaNagar_D (Maharashtra),Alibag,Maharashtra,True
1,822116,Japla_KrishnaNagar_D (Jharkhand),Japla_KrishnaNagar_D (Jharkhand),Japla_KrishnaNagar_D (Jharkhand),Japla,Jharkhand,True
2,690501,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,True
3,362650,Kutiyana_jktnaka_DPP (Gujarat),Kutiyana_jktnaka_DPP (Gujarat),Kutiyana_jktnaka_DPP (Gujarat),Kutiyana,Gujarat,False
4,563135,Srinivaspur_KolarRD_D (Karnataka),Srinivaspur_KolarRD_D (Karnataka),Srinivaspur_KolarRD_D (Karnataka),Srinivaspur,Karnataka,True
5,632518,Arani_PolurRd_D (Tamil Nadu),Arani_PolurRd_D (Tamil Nadu),Arani_PolurRd_D (Tamil Nadu),Arani,Tamil Nadu,True
6,852217,SonbarsaBH_Mangwar_D (Bihar),SonbarsaBH_Mangwar_D (Bihar),SonbarsaBH_Mangwar_D (Bihar),Sonbarsa-BH,Bihar,False
7,205247,Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri,Uttar Pradesh,True
8,678506,Nenmara_Vithanaserry1_D (Kerala),Nenmara_Vithanaserry1_D (Kerala),Nenmara_Vithanaserry1_D (Kerala),Nenmara,Kerala,True
9,383240,Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda_NirSagarPlaza_D (Gujarat),Bhiloda,Gujarat,False
10,621803,Jayankondam_Pirancheri_D (Tamil Nadu),Jayankondam_Pirancheri_D (Tamil Nadu),Jayankondam_Pirancheri_D (Tamil Nadu),Jayankondam,Tamil Nadu,True
11,797105,Tseminyu_Zisunyu_D (Nagaland),Tseminyu_Zisunyu_D (Nagaland),Tseminyu_Zisunyu_D (Nagaland),Tseminyu,Nagaland,False
12,587315,Mahalingpur_Bagalkot_D (Karnataka),Mahalingpur_Bagalkot_D (Karnataka),Mahalingpur_Bagalkot_D (Karnataka),Mahalingpur,Karnataka,True
13,143115,Amritsar_VerkaBypss_I (Punjab),Amritsar_VerkaBypss_I (Punjab),Amritsar_VerkaBypss_I (Punjab),Amritsar,Punjab,True
14,797120,Kohima_AGColony_D (Nagaland),Kohima_AGColony_D (Nagaland),Kohima_AGColony_D (Nagaland),Kohima,Nagaland,False
15,431515,Parli_JirgeNgr_D (Maharashtra),Parli_JirgeNgr_D (Maharashtra),Parli_JirgeNgr_D (Maharashtra),Parli,Maharashtra,True
16,184152,Kathua_Kharote1_D (Jammu & Kashmir),Kathua_Kharote1_D (Jammu & Kashmir),Kathua_Kharote1_D (Jammu & Kashmir),Kathua,Jammu & Kashmir,True
17,722151,Khatra_Simlapal_DPP (West Bengal),Khatra_Simlapal_DPP (West Bengal),Khatra_Simlapal_DPP (West Bengal),Khatra,West Bengal,True
18,144522,Rupnagar_Towercolony_D (Punjab),Rupnagar_Towercolony_D (Punjab),Rupnagar_Towercolony_D (Punjab),Rupnagar,Punjab,True
19,221005,Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi,Uttar Pradesh,False
20,495663,Akaltara_IndraUdyan_D (Chhattisgarh),Akaltara_IndraUdyan_D (Chhattisgarh),Akaltara_IndraUdyan_D (Chhattisgarh),Akaltara,Chhattisgarh,True
21,474012,Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior,Madhya Pradesh,False
22,227413,Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi_HardevNagar_D (Uttar Pradesh),Amethi,Uttar Pradesh,False
