pincode,city,state,active,is_serviceable,cod_allowed,min_order_amount,shipping_fee,cod_fee,free_shipping_threshold,created_at,updated_at,delivery_time,districts,is_returnable,is_exchangeable,return_window_days,exchange_window_days,cod_fees_applicable
110001,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI"",""CENTRAL""]"",false,true,0,3,true
110002,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL""]"",false,true,0,3,true
110003,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH"",""NEW DELHI"",""South East""]"",false,true,0,3,true
110004,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110005,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL""]"",false,true,0,3,true
110006,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL"",""NORTH""]"",false,true,0,3,true
110007,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""CENTRAL"",""NORTH WEST""]"",false,true,0,3,true
110008,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110009,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""NORTH WEST""]"",false,true,0,3,true
110010,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110011,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110012,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110013,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East"",""SOUTH""]"",false,true,0,3,true
110014,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH"",""South East""]"",false,true,0,3,true
110015,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110016,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110017,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
