pincode,city,state,active,is_serviceable,cod_allowed,min_order_amount,shipping_fee,cod_fee,free_shipping_threshold,created_at,updated_at,delivery_time,districts,is_returnable,is_exchangeable,return_window_days,exchange_window_days,cod_fees_applicable
110001,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI"",""CENTRAL""]",false,true,0,3,false
110002,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""CENTRAL""]",false,true,0,3,false
110003,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH"",""NEW DELHI"",""South East""]",false,true,0,3,false
110004,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110005,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""CENTRAL""]",false,true,0,3,false
110006,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""CENTRAL"",""NORTH""]",false,true,0,3,false
110007,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH"",""CENTRAL"",""NORTH WEST""]",false,true,0,3,false
110008,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110009,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH"",""NORTH WEST""]",false,true,0,3,false
110010,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110011,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110012,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110013,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""South East"",""SOUTH""]",false,true,0,3,false
110014,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH"",""South East""]",false,true,0,3,false
110015,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110016,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH""]",false,true,0,3,false
110017,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH""]",false,true,0,3,false
110018,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110019,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""South East""]",false,true,0,3,false
110020,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH"",""South East""]",false,true,0,3,false
110021,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110022,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110023,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110024,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""South East"",""SOUTH""]",false,true,0,3,false
110025,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""South East"",""SOUTH"",""BUDAUN""]",false,true,0,3,false
110026,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110027,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""WEST""]",false,true,0,3,false
110028,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110029,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH""]",false,true,0,3,false
110030,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SOUTH""]",false,true,0,3,false
110031,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SHAHDARA"",""EAST""]",false,true,0,3,false
110032,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""SHAHDARA""]",false,true,0,3,false
110033,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH""]",false,true,0,3,false
110034,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH WEST""]",false,true,0,3,false
110035,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH WEST""]",false,true,0,3,false
110036,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NORTH""]",false,true,0,3,false
110037,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
110038,,DELHI,true,true,false,0.00,0.00,0.00,0.00,,2026-03-22 05:53:43.657,7 days,"[""NEW DELHI""]",false,true,0,3,false
